"","Sample","Time","Treatment","Replicate","Acidobacteria","Actinobacteria","Armatimonadetes","BRC1","Bacteroidetes","Candidatus_Saccharibacteria","Chlamydiae","Chloroflexi","Cyanobacteria","Firmicutes","Gemmatimonadetes","Latescibacteria","Nitrospirae","Planctomycetes","Proteobacteria","Spirochaetes","Thaumarchaeota","Unassigned","Verrucomicrobia","candidate_division_WPS-1","candidate_division_WPS-2"
"25","2019.9_Control_1","2019.9","Control","1",0.186683338543294,0.196874023132228,0.00087527352297593,0.000187558612066271,0.0273835573616755,0.00156298843388559,0,0.00175054704595186,0,0.00406376992810253,0.00256330103157237,0.00175054704595186,0.00306345733041575,0.0325101594248203,0.179743669896842,0,0.0433260393873085,0.0680212566427006,0.244638949671772,0.00500156298843389,0
"26","2019.9_Control_2","2019.9","Control","2",0.16842763363551,0.241262894654579,0.0013129102844639,6.25195373554236e-05,0.0213816817755549,0.00156298843388559,6.25195373554236e-05,0.00112535167239762,0,0.00362613316661457,0.00412628946545796,0.00175054704595186,0.00393873085339169,0.0291341044076274,0.18318224445139,0,0.0150046889653017,0.0857142857142854,0.234323226008127,0.00393873085339169,6.25195373554236e-05
"27","2019.9_Control_3","2019.9","Control","3",0.195498593310409,0.245764301344169,0.000812753985620506,0,0.027008440137543,0.000937793060331354,0,0.00331353547983745,6.25195373554236e-05,0.00362613316661457,0.00393873085339169,0.00225070334479525,0.00287589871834948,0.0281337918099406,0.197436698968427,0,0.0320100031259769,0.0885901844326349,0.16461394185683,0.00312597686777118,0
"28","2019.9_Control_4","2019.9","Control","4",0.208690215692403,0.218255704907783,0.000562675836198812,0.000187558612066271,0.0215692403876211,0.000750234448265083,0,0.0023757424195061,0.000125039074710847,0.00275085964363864,0.00243826195686152,0.00312597686777118,0.00225070334479525,0.0301969365426696,0.139668646452016,0,0.0298843388558925,0.0782119412316346,0.254204438887152,0.00462644576430135,0.000125039074710847
"29","2019.9_Control_5","2019.9","Control","5",0.183807439824945,0.225633010315723,0.000812753985620506,6.25195373554236e-05,0.0175054704595186,0.00112535167239762,6.25195373554236e-05,0.00200062519537355,0,0.00512660206314473,0.00368865270396999,0.00293841825570491,0.00406376992810253,0.0278837136605189,0.174554548296342,0,0.0444513910597062,0.0894029384182553,0.211691153485464,0.00518912160050016,0
"30","2019.9_Control_6","2019.9","Control","6",0.162363238512034,0.259706158174428,0.000562675836198812,0.000125039074710847,0.0300718974679587,0.00181306658330728,0,0.00193810565801813,6.25195373554236e-05,0.00431384807752423,0.00293841825570491,0.00206314473272898,0.00381369177868084,0.0278837136605189,0.212628946545794,0,0.0362613316661457,0.107596123788684,0.142669584245076,0.0031884964051266,0
"31","2019.9_Warming_1","2019.9","Warming","1",0.167114723351047,0.267708658955922,0.000187558612066271,0,0.0280712722725852,0.00143794935917474,0,0.00325101594248203,6.25195373554236e-05,0.00268834010628321,0.00231322288215067,0.00181306658330728,0.00381369177868084,0.0307596123788684,0.18687089715536,0,0.0416380118787121,0.0762738355736165,0.182619568615192,0.00337605501719287,0
"32","2019.9_Warming_2","2019.9","Warming","2",0.12472647702407,0.31459831197249,0.000625195373554236,0,0.0234448265082838,0.00100031259768678,0.000125039074710847,0.00143794935917474,6.25195373554236e-05,0.00350109409190372,0.00406376992810253,0.00175054704595186,0.00400125039074711,0.0211316036261332,0.216942794623319,0,0.0358862144420131,0.078712097530478,0.165051578618318,0.00293841825570491,0
"33","2019.9_Warming_3","2019.9","Warming","3",0.141356673960612,0.241950609565488,0.000812753985620506,0,0.015942482025633,0.00125039074710847,0.000125039074710847,0.00412628946545796,0,0.00400125039074711,0.00362613316661457,0.00218818380743983,0.0031884964051266,0.025382932166302,0.167802438261956,0,0.0438261956861519,0.076648952797749,0.264145045326664,0.00356361362925914,6.25195373554236e-05
"34","2019.9_Warming_4","2019.9","Warming","4",0.167552360112535,0.200375117224132,0.00125039074710847,0,0.0124413879337293,0.00150046889653017,0.000125039074710847,0.00325101594248203,0,0.00368865270396999,0.00306345733041576,0.00175054704595186,0.00293841825570491,0.0283213504220069,0.130978430759612,0,0.0177555486089403,0.0695842450765862,0.350422006877149,0.00487652391372304,0.000125039074710847
"35","2019.9_Warming_5","2019.9","Warming","5",0.220756486401999,0.225195373554234,0.000312597686777118,0,0.0266333229134104,0.00143794935917474,0,0.00287589871834948,0.000125039074710847,0.00168802750859644,0.00218818380743982,0.0021256642700844,0.00218818380743982,0.0372616442638324,0.184745232885276,0,0.0640825257893092,0.0778993435448575,0.145608002500781,0.00487652391372304,0
"36","2019.9_Warming_6","2019.9","Warming","6",0.15573616755236,0.199624882775867,0.00137542982181932,0,0.0150672085026571,0.00100031259768678,0.000125039074710847,0.00193810565801813,0,0.00331353547983745,0.0023757424195061,0.00275085964363864,0.00243826195686152,0.0220068771491091,0.139731165989371,0,0.0317599249765552,0.0795873710534539,0.336855267271022,0.00418880900281338,0.000125039074710847
"37","2020.6_Control_1","2020.6","Control","1",0.192685214129415,0.214316974054391,0.000375117224132541,0,0.0466395748671459,0.00087527352297593,6.25195373554236e-05,0.00231322288215067,0,0.00693966864645202,0.00362613316661457,0.00187558612066271,0.00481400437636762,0.0294467020944045,0.236386370740855,0,0.0218193185370428,0.0763363551109719,0.157986870897155,0.0034385745545483,6.25195373554236e-05
